id,tweet_id,retweet_count,tweet_created,tweet_location,text,airline,airline_sentiment
1,570301130888122368,0,2015-02-24 11:15:59 -0800,,@VirginAmerica plus you've added commercials to the experience... tacky.,Virgin America,1
5,570300767074181121,0,2015-02-24 11:14:33 -0800,,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",Virgin America,-1
6,570300616901320704,0,2015-02-24 11:13:57 -0800,San Francisco CA,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",Virgin America,1
9,570295459631263746,0,2015-02-24 10:53:27 -0800,Los Angeles,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",Virgin America,1
11,570289724453216256,0,2015-02-24 10:30:40 -0800,NYC,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,Virgin America,1
12,570289584061480960,0,2015-02-24 10:30:06 -0800,NYC,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,Virgin America,1
14,570285904809598977,0,2015-02-24 10:15:29 -0800,"San Francisco, CA",@VirginAmerica Thanks!,Virgin America,1
15,570282469121007616,0,2015-02-24 10:01:50 -0800,"palo alto, ca",@VirginAmerica SFO-PDX schedule is still MIA.,Virgin America,-1
17,570276917301137409,0,2015-02-24 09:39:46 -0800,this place called NYC,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,Virgin America,-1
18,570270684619923457,0,2015-02-24 09:15:00 -0800,Somewhere celebrating life. ,I ❤️ flying @VirginAmerica. ☺️👍,Virgin America,1
19,570267956648792064,0,2015-02-24 09:04:10 -0800,Boston | Waltham,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,Virgin America,1
20,570265883513384960,0,2015-02-24 08:55:56 -0800,,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,Virgin America,-1
21,570264145116819457,0,2015-02-24 08:49:01 -0800,,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,Virgin America,1
22,570259420287868928,0,2015-02-24 08:30:15 -0800,Los Angeles,@VirginAmerica I love the hipster innovation. You are a feel good brand.,Virgin America,1
24,570256553502068736,0,2015-02-24 08:18:51 -0800,714,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,Virgin America,-1
28,570207886493782019,0,2015-02-24 05:05:28 -0800,"San Mateo, CA & Las Vegas, NV",@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,Virgin America,-1
30,570114021854212096,0,2015-02-23 22:52:29 -0800,,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",Virgin America,-1
32,570088404156698625,0,2015-02-23 21:10:41 -0800,Washington DC,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",Virgin America,-1
33,570084582780899328,0,2015-02-23 20:55:30 -0800,,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",Virgin America,-1
